	label	clstr	binF	txtF	txt	js	rust	md	json	img	lock	html
c498f6c15d70c5655b6c86e5bc7a8b905da0a547	minor	2	0	1	2	0	0	0	0	0	0	0
1b3357c2a8880cb888bae8a7082d9d10e170c571	minor	2	0	1	1	0	0	100	0	0	0	0
1296700be028ad2452699b3d38947be5fc6a5e55	minor	2	0	1	1	0	0	0	0	0	0	0
60dbd1ee7c8725b687027471f682172337c22e29	minor	2	0	1	1	0	0	0	0	0	0	0
4ec204ce811f78967702bcf174e7ddb28dee9a9d	other	0	0	6	212	0	7.54	0	0	0	0	0
1356e404e9c94927dfa3e79ecc7d09a35e674421	other	2	2	12	211	0	0	0	19.43	0	0	0
77a5732c1672fac303de6a0219348897468be4c9	other	2	0	6	172	0	0	0	0	0	0	0
8e472d56ce7810ebaf1a3490ee5e1521a6848f96	other	5	0	11	61	0	0	39.34	9.83	0	0	0
087111bf68b62008c5ebb21d186e0af203bc2201	other	2	0	0	0	0	0	0	0	0	0	0
c6a1b1204a10e793f34d6fdb24e50734cd765f86	other	2	0	0	0	0	0	0	0	0	0	0
2c2139bf1f2fb4b8525f77263011ab024b48a3e1	other	2	0	0	0	0	0	0	0	0	0	0
074afe2a5dca3318617bf61e94b5ae75631cc9a5	other	3	0	4	434	0	0	0	4.14	0	95.85	0
4a5c5270592cb60ba7272ae0ee4e8f6497747b7a	other	5	1	5	218	0	0	9.17	50.91	1	0	0
14d6bfcec042ae8e952588e4e0da6ef89e5fc0b3	other	2	0	1	201	0	0	0	0	0	0	0
0569b82717da03ca2786c5bdd78d06b478124ffd	other	2	0	4	137	0	0	0	0	0	0	0
1928105a2aac2051459bc8d447337d44841bbcb0	other	2	0	3	127	0	0	1.57	0	0	0	0
c2a83f308eabe3558136c4da40065cf421c04fa9	other	2	0	2	106	0	0	0	0	0	0	0
624075fb60fcfb2f3aecd1af65b4399462006800	other	2	0	2	77	0	0	0	0	0	0	0
90a8bf1ffa2d3bbf7f7eef5ed3cae46b2aac5512	other	2	0	2	67	0	4.47	0	0	0	0	0
f621ee9e07197af2ea63c7f3f7ffcd6e47f23bca	other	4	0	2	47	38.29	0	0	0	0	0	0
4cf8ddad3f611bbb98b71e5fc14613b070853a04	other	2	0	3	27	0	0	0	18.51	0	0	0
1141c8e42a81f84732d5c825352e769cd55f08c9	rust	0	0	7	496	0	98.99	0	0	0	0	0
ba2c5a80fd73d364915a35e56dcd5aeb29c1f527	rust	0	0	2	385	0	100	0	0	0	0	0
b10726032e2e8a3401c8aba16d839947032ad648	rust	0	0	10	325	0	100	0	0	0	0	0
8a15bf7e2a622a0acec7fa04916f08321a0da487	rust	0	0	9	166	0	100	0	0	0	0	0
f359dc50902622603aa0eddbd4c907b4322f9ad0	rust	0	0	3	141	0	100	0	0	0	0	0
17826b2f2bb044dc9a151715bae3e68f14d9d51b	rust	0	0	3	136	0	99.26	0	0	0	0.73	0
cebf995ff0d5fff806f9260ca4a21311e13c2de8	rust	0	0	6	113	0	100	0	0	0	0	0
f247a84f6d4df96616ad3224b2b7b713a06777b6	rust	0	0	7	104	0	100	0	0	0	0	0
e89adc66de42a98a606ef55390d8f47d09753626	rust	0	0	2	73	0	100	0	0	0	0	0
b34a9fc90b9e4acd1c17a9813fcb60da8687d618	rust	0	0	5	67	0	100	0	0	0	0	0
a2867db1b5c22f189971495487e6d18b13932a92	rust	0	0	4	65	0	100	0	0	0	0	0
60c9f03902ccb08ae47579b86a9dec6a06719d6c	rust	0	0	5	62	0	100	0	0	0	0	0
3bcc928a724d8610f86b8528232193d35fa9e676	rust	0	0	3	51	0	100	0	0	0	0	0
e35e3973f30d640bce3efe2f0d6322006fe153a3	rust	0	0	3	47	0	100	0	0	0	0	0
e8c109df992228a2116fdafd611f14a9d3f7a521	rust	0	0	3	46	0	100	0	0	0	0	0
19659799c48889476c98824d09e269d184e90aa3	rust	0	0	3	43	0	100	0	0	0	0	0
fbaf9143ee432b28c871b654d102ad24ead9fc30	rust	0	0	2	42	0	100	0	0	0	0	0
4eae93272ed3b8cc3ed053df539d74db5f64332d	rust	0	0	2	38	0	100	0	0	0	0	0
8418111074644a1bc197315060facd34778099de	rust	0	0	6	36	0	100	0	0	0	0	0
7bd2341ded949f161a13a05eecac5aa3b0284c71	rust	0	0	4	31	0	100	0	0	0	0	0
3249aa376cc079f3f7caedd7f27933e1e6416f75	rust	0	0	8	25	0	100	0	0	0	0	0
48301f96bc22de28aef338a372387c7300d3eaf8	rust	0	0	2	19	0	100	0	0	0	0	0
3ae49e9a379a0f845f79eef80ef081b04346e76b	rust	0	0	6	18	0	100	0	0	0	0	0
3d72d5885e565adbcb21194088efd8ed6a8825bf	rust	0	0	1	13	0	100	0	0	0	0	0
88afe8feaa6119ebeb2032281c26f6b74f2f8fd1	rust	0	0	2	12	0	100	0	0	0	0	0
582d07d2bb240ce31774515972e46510bada81b8	rust	0	0	2	12	0	100	0	0	0	0	0
6299475935f28bb58c1e5a29d52274291cc8fcf0	rust	0	0	3	10	0	100	0	0	0	0	0
c8a302f97fe5d77becebd1fab16498cedde95dfd	rust	0	0	2	10	0	100	0	0	0	0	0
3db740a7609584385925554159262c2ec60829a7	rust	0	0	1	10	0	100	0	0	0	0	0
bbd0941d3eaa1b61fded4b8daee1dd6472721acf	rust	0	0	9	223	0	91.92	0	0	0	0	0
643153483bbb7476897cbb4fc17939560c278b0f	rust	0	1	6	68	0	54.41	32.35	7.35	0	0	0
cbb10508e82e1b6c4758ae98d3424abbe72ba7e1	rust	0	1	2	27	0	92.59	0	0	0	0	0
f2afc13ea29569a8fe34e6d598f1f43f750ea961	rust_pack	3	0	12	3637	0	57.84	0	0	0	42.15	0
a294c42dec14291aca5869cd1afeeb7deae72569	rust_pack	3	0	8	1817	0	12.32	0	0	0	87.67	0
d99683233df7c88fb560f98cd20b4be9b606356e	rust_pack	3	2	12	1376	0	6.83	0	0	0	89.89	0
60a64a3bbe532205202e27fc3c391ad038d40577	rust_pack	3	0	9	1149	0	38.2	0	0	0	57.18	0
bfbc30c88f6a30b4a6366e6e31d4878841f54a38	rust_pack	0	0	7	529	0	87.14	0	0	0	1.89	0
76dff0e24f1008512b8d3a33138ef67d3058790f	rust_pack	3	0	11	458	0	15.5	0	0	0	77.51	0
1549e455ba545212488b50036135a19788d3d6f5	rust_pack	3	0	7	349	0	22.06	0	0	0	75.07	0
d25f2245581ac5de25a3540838633301c094ffde	rust_pack	3	10	5	240	0	57.08	0	0	0	42.91	0
7f3b44fb9b23912bad9321bc98ce9d76b2d70093	rust_pack	3	0	2	204	0	1.96	0	0	0	98.03	0
256aae9c0f657cf9bee452eeddd2c3a7d7b3b88c	rust_pack	3	0	5	200	0	10.5	0	0	0	75.5	0
6fef752281de60f5b9d63a6fa6976a9730a3eca5	rust_pack	3	0	12	188	0	28.72	0	0	0	71.27	0
ab6ed43f39b4ff5570012be8053178c4b8317262	rust_pack	3	0	6	184	0	9.78	0	0	0	90.21	0
8296486eaa66d26ee55462abe01c566c0bf37cc4	rust_pack	3	1	8	167	0	62.87	0	0	0	30.53	0
bb90dd369368d6a6b08f5a28c114e0f04005a459	rust_pack	3	0	9	157	0	28.02	0	0	0	71.97	0
49b2ecd8e05b60a892f0d02e19589a30fe18b172	rust_pack	3	0	4	151	0.66	29.13	0	0	0	70.19	0
b342859164b36bf68572d3e7ff7fa3ddf500f04f	rust_pack	3	10	17	149	0	42.28	0	0	0	57.71	0
7174906784a4a90f3169b77cd1c261743eaed5cb	rust_pack	3	0	11	148	0	31.08	0	0	0	68.91	0
b0fa49da081315be08c7335b852a52c6606ae79d	rust_pack	0	0	6	143	0	61.53	0	0	0	4.19	0
c6dd03e30899b1d8a526a61a41ee1e9c58a5cb30	rust_pack	3	0	4	140	0	0.71	0	0	0	45.71	0
eb5dfafa5e17121b61963b09aef6fa966223ee53	rust_pack	3	0	6	121	0	28.92	0	0	0	71.07	0
7922f1aefd19800f8651c524d2db55cd2017bd1b	rust_pack	3	0	4	119	0	3.36	0	0	0	86.55	0
29f15f2b4e404816ea805b610c7ad3432127fdad	rust_pack	3	0	5	75	0	64	0	0	0	29.33	0
01cdb26c2cb0207abb915703b203fca8fae114dd	rust_pack	3	0	2	56	0	3.57	0	0	0	96.42	0
8eb4a1da7c024d1fd9261b4da1a68f0c40d4e375	rust_pack	3	0	7	52	0	42.3	0	0	0	42.3	0
6df4e470d37bdbfeb128e55815e73f7ab34fbaeb	rust_pack	3	0	4	51	0	7.84	21.56	0	0	70.58	0
3219570006b7d361969177fa05f488a238e206a7	rust_pack	3	0	2	36	0	11.11	0	0	0	88.88	0
