	label	clstr	binF	txtF	txt	js	rust	md	json	img	lock	html
8e725ad23f4e47a8c6e17c9cf59dc35398e0f145	bulk	1	1405	1488	7447	0.16	2.61	2.53	4.53	0	22.85	0
90a25bedfeb738a9c16ea6508be733c91758ecd1	bulk	7	0	23	6760	32.3	0	12.64	46.9	0	0	0
602467f7349af70f2806ce53399640c1052bb4ee	bulk	7	0	13	5761	0.45	0	0	98.69	0	0	0
2e41ba0f1930b5cd1c77a2dea526aa2e98427f12	bulk	3	199	435	5438	0	21.03	0.99	2.79	0	35.17	0
91f64b47f17da9564bc8375c89c2d566c9824f07	bulk	7	0	1472	5341	0	0	0.18	6.12	0	0	0
2bd0c63a932756f32423a4815fb2dce485abe67a	bulk	3	0	67	5278	0	67.77	0.2	0	0	31.88	0
1731ea09220b24ac3b5f806913f59cc2f8625197	bulk	7	2	16	5162	4.59	0	0	81.17	0	11.66	0
027d59cd7ae4db053468f531fa8f89fab2ac23cd	bulk	5	18	50	5108	0	0	0.23	0.46	18	0	0
d958c9cfa50a5d72efcee9d1a02f2eb5bd80b21d	bulk	7	0	14	3444	18.58	0	10.83	57.4	0	0	0
d958c9cfa50a5d72efcee9d1a02f2eb5bd80b21d	bulk	7	0	14	3444	18.58	0	10.83	57.4	0	0	0
c5b0b09b72d051159c55e0b7f9514ad9272367c8	bulk	7	0	21	3339	16.86	0	0	81.61	0	0	1.16
3e6a35ea3513f86c4b88015c3ab30e425e1a9614	bulk	7	0	21	2531	31.76	0	0	64.16	0	0	0
103002210a98c3850c964ddcffc4a9bef1998183	bulk	1	1	14	2194	4.74	0	1.54	2.05	0	83.77	6.01
5aea5a53ad9f0004254531e87d258838012269c7	bulk	3	0	47	1981	0	94.59	0	0	0	2.12	0
2c59a944796820ef1150f32036b2c97131e82fc7	bulk	7	0	14	1666	50.36	0	0	9.78	0	0	0
2ee2cf3a2cd7988ef686944dde7c2c8af7cb4809	bulk	3	4	31	1487	0	91.25	0	0	0	8.74	0
