	label	cluster	numCommits	binFiles	imgFilePct	textFiles	textLines	cLinePct	c-plus-plusLinePct	configurationLinePct	dataLinePct	datascienceLinePct	goLinePct	interfaceLinePct	javascriptLinePct	jsonLinePct	latexLinePct	lockLinePct	localizationLinePct	markdownLinePct	sqlLinePct	swiftLinePct	txtLinePct	yarnLinePct
7d27f629395aafcc0793c7dda26301a7ba9290ba		0	57429	0	0.0	4	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
117e9f474ad6cce01f0f527da3a97f0d14bb7119		0	57429	0	0.0	1	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cfc5c3bc0c7a9e81042e2c6794943eec5a6c7c20		0	57429	0	0.0	2	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e8b71ea33ee0fd4ab06d96bf5411d5958999b04c		0	57429	0	0.0	1	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e538714e38529ac74745f50dee32b3cfb22b3eae		0	57429	2	50.0	2	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f2dff0dc7b90cbf534f9ef58525134dae65b9211		0	57429	0	0.0	1	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cad876836b1842a2ffed1980c26361f1daede178		0	57429	0	0.0	2	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3b6c6730a4a7900f7a29cf8113a64446c7ad2d68		0	57429	0	0.0	1	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
ac64124cd3caa6680bc2e20e927a3de0e52229ff		0	57429	0	0.0	1	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23f4757b2fcb934d7a35347f861ba349134b36a1		0	57429	0	0.0	1	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bf2507feabf200a2f3b3b60e6b864a7769d48034		0	57429	0	0.0	1	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99bf39bcd6c9256ac20cb465bab0c62b0eb98753		0	57429	0	0.0	3	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1dd4073463ee012590e5f2f09036e3ed76f8da7f		0	57429	0	0.0	2	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e1961ffced5dcbe027aa4c05794da791b789bcfb		0	57429	0	0.0	7	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c23dc8855e3984296d782bf711cb335ae95f3906		0	57429	0	0.0	1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fa61c6f6a6fda3e68f3f84d27bcc996af861bcfd		0	57429	0	0.0	1	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f0908e93d633b36c252b85dd01b4ba00f5baabab		0	57429	0	0.0	1	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a151406c014d987d706b5763ed0362d5fa72b9e3		0	57429	0	0.0	1	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f807113d7dee5fbbd2ea4e6e941f12384a99d889		0	57429	0	0.0	1	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b72e0cd9e63f7cf4bec2908143c62c23666b674a		0	57429	0	0.0	1	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
513d5c7bdc80980d121401b185b29c2b984d7377		1	1811	0	0.0	7	114	0.0	0.0	0.0	0.0	0.0	0.0	0.87	30.7	63.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
db3dc20c6f961ccfb6c587b467cee6d1f26cf582		1	1811	0	0.0	4	312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.51	4.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
