"owner","repo_name","java_commits"
"DIT113-V22","group-03","19"
"DJetCloud","djet-codegen","21"
"DKE-Data","agrirouter-sdk-java","863"
"DLR-SC","Overtarget","170"
"DLukin911","mdma","250"
"DNAstack","gatekeeper","343"
"DP-3T","dp3t-sdk-android","1115"
"DP-3T","dp3t-sdk-backend","909"
"DRSchlaubi","mikbot","17"
"DSC-SPIDAL","twister-perf","284"
"DSpace-Labs","SAFBuilder","71"
"Daisuke-Shimada","openid4java","998"
"DanaEliyahu1","Retrivial_IR_Search_Engine","250"
"DanielLefevre","Nantes-1900-Maven","3320"
"DarkAndBlue","ReachDisplayMod","10"
"DataBiosphere","terra-drs-hub","106"
"DataDog","datadog-kafka-connect-logs","199"
"DataDog","java-dogstatsd-client","420"
"DataDog","jenkins-datadog-plugin","770"
"DataDog","jmxfetch","654"
"DataDog","sketches-java","579"
"DataGrip","cassandra-jdbc-driver","256"
"DataGrip","couchbase-jdbc-driver","411"
"DeadmanDungeons","AudioConnect","182"
"Deep-Symmetry","beat-link","822"
"Deep-Symmetry","crate-digger","28"
"DenizenScript","Denizen","38393"
"DerPavlov","Cannons","1942"
"DevK2S","Study_Partner","478"
"Devanw","SoundRecorderOSD","56"
"DeveshModi","gocd-slack-build-notifier","153"
"DevonFruck","sysc3303_elevator","261"
"DiegoCatalano","Catalano-Framework","4296"
"Dilloid","sem-group-17","89"
"DingGGu","m16chat-android","159"
"DirtyUnicorns","android_device_sony_yuga","2"
"DirtyUnicorns","android_packages_apps_Apollo","861"
"Douzal","JpetStore","202"
"Drjacky","ImagePicker","8"
"DuckyCrayfish","hourglass","294"
"EURAKNOS","Saf-Builder","71"
"EWEN14","cfa-vaadin","459"
"EarthEngineering","java-earth","21913"
"EggPixel","SpigotBuilder2","13081"
"EnMuhammad","location","60"
"End-Tech","banana_mod","6"
"EngineHub","EngineHub-Bot","480"
"EngineHub","WorldGuard","5547"
"EniacHome","AlarmService","339"
"Entertech","Enter-AffectiveCloud-Android-SDK","53"
"Ermahgawd","bo","30"
"Error-Remittance","backend","403"
"Escanor767","briar","26050"
"EuroCRIS","CERIF-TG-Tools","167"
"EuroCRIS","openaire-cris-validator","96"
"EventFahrplan","EventFahrplan","1944"
"Evervolv","android_packages_apps_Apollo","862"
"Exodus-Privacy","exodus-android-app","210"
"ExpressoTech","Project-Expresso","158"
"F1-C0D3","MANETRoutingInstance","647"
"FRANKSTEIN11","SchoolManagementSystem","321"
"FRCTeam3182","FRC2016","328"
"FRCteam4909","2021-DiffSwerve","302"
"FWest98","Discipul-Android","656"
"FYE237","Briar-UDPCall","29477"
"FabricMC","fabric-example-mod","5"
"FabricMC","fabric-loom","2681"
"FahimFBA","OOP-FBA-Notes-of-Dewan_Farid_Sir","103"
"FantLab","FantLab-Android","466"
"Fedict","dcattools","852"
"FelixEnghofer","pdfview","282"
"FettLol","fettlol-lib","56"
"Fitbit","bitgatt","364"
"FlareROM","android_packages_apps_Eleven","2545"
"FlokoROM","packages_apps_FlokoSettings","1792"
"FousseynouSakho","pipeline","203"
"Fox2Code","FoxMagiskModuleManager","615"
"FreshROMs","android_packages_apps_FreshNxtServices","312"
"Frontear","Infinity","636"
"FundingCircle","jackdaw","9"
"FuriKuri","aspgen","875"
"Fusion-Rom","android_packages_apps_Eleven","1869"
"G3G4X5X6","ultimate-cube","1914"
"GPCN","platform-public-distributions","5"
"Gamma-Y","2021-08-otus-spring-Smirnov","469"
"GerritCodeReview","gitiles","553"
"GerritCodeReview","plugins_go-import","16"
"GerritCodeReview","plugins_heartbeat","20"
"GerritCodeReview","plugins_its-base","448"
"GerritCodeReview","plugins_quota","136"
"GerritCodeReview","plugins_rate-limiter","26"
"Ghost-chu","QuickShop-Hikari","9681"
"Gikabu","Tusky","2693"
"GitMessengerBot","GitMessengerBot-Android","8"
"GladeRom","android_packages_apps_Eleven","1869"
"GlazeOS-devices","device_sony_odin","2"
"Gmugra","net.cactusthorn.config","1396"
"GoogleCloudPlatform","dlp-dataflow-deidentification","655"
"GoogleCloudPlatform","grpc-gcp-java","2939"
"Govardhan-999","cracking-the-coding-interview","2828"
"Grandlembadon","Java-Interviews","2828"
"GrapheneOS","Auditor","330"
"GrapheneOS","Camera","125"
"Guanda","LeetcodeOnlineJudge","880"
"H-SE-1-8D-2022","PROJ1","357"
"HATEM-CHAABINI","DEVils-3A3","392"
"HVA-FRC-3824","2014_Competition_Robot","755"
"Hack23","sonar-cloudformation-plugin","494"
"Hakky54","log-captor","169"
"Hakky54","sslcontext-kickstart","1534"
"Han153653","kdn251","2828"
"Hanghae11-FinalProject","Back-end","795"
"Hannas-Collection","PMI-HAPI-FHIR-Backend","458"
"Happy-sc","Doris-api","2"
"HashSplit4J","hashsplit-lib","310"
"Health-Education-England","tis-revalidation-recommendation","926"
"Heamanthkumar","jenkin-ubuntu","198"
"Hectorxda","MySettings","998"
"Hellybean","android_packages_apps_Apollo","872"
"Hemanthvinayac","JPetStore","198"
"HexagonNico","HexagonEngine","960"
"HexagonRom","android_packages_apps_Eleven","1975"
"HiRoS-neko","ShadeSmear-Jetbrains","14"
"HighLvl","VKR","37"
"Hilligans","Ourcraft","5084"
"Holotova","First","525"
"Homework-Studios","JavaEngine","344"
"HoneyHyeok","jarjar","563"
"HubSpot","NioSmtpClient","350"
"HubSpot","Rosetta","391"
"HubSpot","jackson-datatype-protobuf","316"
"IDE4edu","interactive-self-assessment","14346"
"ILoveLin","iEndoPlus","1373"
"IVCTool","IVCT_TestSuiteDevelopment","166"
"IVCTool","TS_HLA_BASE","260"
