"owner","repo_name","scala_commits"
"seratch","slack-app-examples","22"
"epfl-lts2","sparkwiki","185"
"kcrypt","scala-blake3","286"
"nuxeo-archives","nuxeo-drive-server","109"
"apache","pinot","59"
"rohankumardubey","opengrok","13"
"rockya2014","Tutotrials","90"
"typelevel","cats-collections","1144"
"mmcgrana","gobyexample","9"
"rootulp","exercism","2"
"c9","core","9"
"findify","flink-adt","379"
"honeycomb-cheesecake","play-silhouette","3206"
"circe","circe-yaml","61"
"statsd","statsd","2"
"twitter","twitter-text","3"
"aml-org","amf","36129"
"ctimmerman-prog","OpenApi","88"
"silk-framework","silk","17953"
"JonathanMatthey","codeconv","2"
"yhust","github-spark-1.6-dag","17603"
"mongodb","docs-ecosystem","4"
"splunk","flink","24235"
"akshaynanavati","dotfiles","24"
"mikepapadim","collage-non-tvm-fork","354"
"zhaoshuo5550","spark","27289"
"kyohei8","dotfiles","3"
"val-verde","shared-mime-info","3"
"Eki8596","GildedRose-Typescript","6"
"ErikSchierboom","exercism","1008"
"sbt","sbt-release","204"
"tianyiyunshu","spark_first","27535"
"mmngreco","fonts","2350"
"sbt","sbt-dependency-graph","216"
"lincolnauster","syntect-but-old","1"
"aiven","jdbc-connector-for-apache-kafka","73"
"scoverage","scalac-scoverage-plugin","1466"
"flowcommerce","location","437"
"ScalaConsultants","Tezos-FullStack-Console-backend","638"
"profunktor","fs2-rabbit","2069"
"samelamin","spark-bigquery","160"
"TomMD","apache-spark","30319"
"kennyledet","Algorithm-Implementations","97"
"twitter-archive","ostrich","1462"
"StaylerG","workflow-tests","331"
"finagle","finch","3000"
"ashwanthkumar","suuchi","737"
"Ahmed-elsayed-mahmoud","OpenWhisk","3005"
"10sr","junks","15"
"OrderLab","Arthas-eval-Redis","44"
"rituja10","training","12"
"l33pf","Crab","2"
"scallop","scallop","1048"
"sparklyr","sparklyr","1612"
"ShellRechargeSolutionsEU","ocpp","1734"
"Mattlk13","pygments","595"
"apicollective","apibuilder-generator","3492"
"Rentu","redis-read","44"
"barambani","docker-effect","499"
"willku1024","cmake_Redis","44"
"jchakravarty","kibana","4"
"tonymorris","fp-course","136"
"rami3l","yascm","144"
"geomesa","geomesa-nifi","431"
"viperproject","viperserver","1181"
"csantanapr","incubator-openwhisk-python","862"
"sabariarun","project-examples","2"
"anandibhat","AWSServerless","11"
"cheleb","zio-pravega","163"
"SwissDataScienceCenter","renku","680"
"gatling","gatling","37697"
"StephenFinn2","ServerLess","3"
"mvali95","spire","4273"
"replit","prybar","1"
"dungdm93","bookshelf","11"
"graphframes","graphframes","611"
"stryke24","GildedRose-Refactoring-Kata","6"
"jenetics","jenetics","50"
"spotify","featran","1276"
"earthly","earthly","11"
"serverless","serverless","15"
"bwhetherington","rscript-ace","4"
"kenny-thomas","pygments-main","595"
"anttiollikkala","tdd-mooc-legacy-code","10"
"BIGduu","spark-parent_2.11_for_learn","30472"
"dwijnand","shisa","754"
"jpmml","jpmml-sparkml","5"
"nucypher","kafka-oss","8304"
"rchain","rchain","26064"
"apache","kafka","14596"
"nublic","Nublic","334"
"Netflix","spark","30552"
"propensive","probably","265"
"rhysd","misc","6"
"JulibethTinoco","mlflowD","17"
"caryhhl","carycode","19773"
"eajakap","eugenp-tutorials","90"
"marianobarrios","tls-channel","436"
"OpenAPITools","openapi-generator","3501"
"mypinkhacker","Apache","30338"
"tensorflow","ecosystem","91"
"damianoporta","pinot","16"
"jackeylu","reading-redis","44"
"kubukoz","smithy-playground","582"
"allwefantasy","ar_runtime_web_console","81"
"MainfluxLabs","mainflux","37"
"sankumarbigdata","apache_spark","27767"
"bds1965","okbuck","3"
"ghostbuster91","sttp-openapi-generator","1413"
"Avi999","testtoolchain2","11"
"ejfried","sarasvati","28"
"playframework","play-ebean","51"
"buo","dotfiles","2"
"melvic-ybanez","Nostalgia","818"
"ioflo","floscript_linguist","9"
"tkawachi","sbt-doctest","322"
"sandeepnjk","sarasvati","28"
"Charlie-chenchrl","activemq-fork","378"
"w156226814","flink-parent","25815"
"com-lihaoyi","upickle","2658"
"dbeecham","dotfiles","25"
"Dwolla","scala-test-utils","148"
"BrackenW3","Atom-file-icons","2"
"trask","minimal-opentelemetry-javaagent","302"
"chandan64","OpencvTutorials","26"
"TorrentDam","webapp","154"
"Jazmann","openCV-fork","21"
"RADAR-base","RADAR-JDBC-Connector","73"
"dimitarp","basex-all","2"
"akiomik","cats-nio-file","68"
"johnweldon","dotfiles.chezmoi","9"
"criteo","cuttle","696"
"Bhanuprakash-ch","spark-timeseries","780"
"json4s","json4s","3149"
"scala-js","scala-js-js-envs","233"
"khilnani","dot_files","3"
"ZihengJiang","tvm-hago","308"
"user24461","kafka-connect-jdbc","73"
"shuaibixi","myOpenWhisk","2241"
"matthewvilhauer","code-problems","3"
"twitter-archive","gizzard","2900"
"sauravmondallive","opencv-repo","24"
"cloudstateio","cloudstate","1432"
"sureindia-in","pipelines-kfp","12"
"smtcrms","tutorials","90"
"ches","dotfiles","8"
"apache","flink","25834"
"rohankumardubey","buck","6"
"hnaderi","lepus","734"
"AND-Digital-Jemison","coderdojo-1-refactoring","10"
"nemac","nfwf-mvp-server-OLD","202"
"gertschouten","kafka-connect-jdbc-event-store","73"
"guochuanzhi","flink","3969"
"srvaroa","dotfiles","4"
"vkvish19","kafka-connect-jdbc","73"
"hawksley71","myRepository","26"
"Vocht","GildedRose-Refactoring-Kata","6"
"markusstrasser","haskell","133"
"apache","openwhisk-runtime-swift","943"
"getsentry","examples","6"
"GerritCodeReview","plugins_high-availability","39"
"RanjeetMishra","Apache-Kafka-Core-Documentation","8369"
"aswinpj","Pygments","559"
"jerryjch","ApacheHBase","128"
"rohankumardubey","examples","14"
"pragmalang","pragma","1846"
"bylee5","pgJDBC-issue","1"
"toannguyen2","ignite","4116"
"Aeschautomator","Thirdeye-security-scanner","39"
"jindo6996","hackto","6"
"rohankumardubey","logging-log4j2","156"
"alexskyer","kafka","9140"
"thaylongs","SAMbALegacy","29523"
"yuanlairucisky","julia","2"
"SuleimanEarthlink","nuxeo","586"
"Xi-Plus","OJ-Code","1"
"argan","binary-refactor","2"
"aesc-silicon","elements-vexriscv","1942"
"foundweekends","giter8","888"
"NVIDIA","spark-rapids","4258"
"pranab","avenir","141"
"facebookresearch","ReAgent","80"
