"owner","repo_name","scala_commits"
"QuiNovas","apache-pulsar","4"
"spring-attic","spring-xd-samples","1"
"hanankem","project-examples","2"
"The-Actual-Damien","https-github.com-gradle-gradle.nickfoaf","699"
"Voldemort373","CP","1"
"moszinet","BKKCrypt","2"
"zio","zio-json","534"
"Ngone51","spark-read","29201"
"theroyalraj","CodeLibrary","52"
"testcontainers","testcontainers-scala","591"
"acmfi","AdventCode","2"
"bellmit","eugenp_tutorials","90"
"Sunbird-Lern","data-pipeline","4163"
"bfitz1","data61-fp-course","133"
"prismofeverything","gaia","740"
"shinh","test","2"
"TaylorPhebillo","GildedRose","6"
"pmpawase","test-project-examlple-pp","4"
"552103917","opencv3.4","17"
"scouvreur","hackerrank","39"
"Scalingo","scala-buildpack","24"
"hashbase","hashbase","263"
"msgpack","msgpack-ruby","8"
"atubo","online-judge","85"
"VSaliy","opengrok","13"
"Graylog2","graylog2-server","140"
"jjthomas","spark-nvl","22636"
"geomesa","geomesa-geoserver","49"
"yxyyyt","dev","84"
"pingcap","tispark","3154"
"sbt","sbt-avro","105"
"wso2","orbit","2"
"h77h7","tvm-04.26","308"
"microsoft","azure-tools-for-java","156"
"malli9","mxnet","2034"
"aivanou","algorithms","53"
"philipjung164","atlas","715"
"WebWorksCollection","c9core","9"
"erikdiessel","plidoc","2"
"Jazmann","openCV-Cxx11","21"
"xxab123","spark2","27524"
"nikosnikolaidis","tinkerpop","27"
"yasani18","R","30291"
"kernelai","pika-cli","44"
"zt706","mxnet_for_ssd","1047"
"conda-forge","regions-feedstock","2"
"mafernandez-stratio","spark-mesosphere","17529"
"typelevel","fs2","12800"
"ryskajakub","crm","34"
"kdbvier","hacker-scripts","2"
"jetbrains-academy","scala-tutorial","88"
"yugabyte","yugabyte-db","21"
"msgpack","msgpack-java","392"
"atom-community","atom-script","1"
"databricks","spark-deep-learning","39"
"streamline-eu","ML-Pipelines","4298"
"Anyz01","smile","592"
"shumbul","OpenGenus-cosmos","373"
"SEMI-TS","redis","44"
"kkoomen","vim-doge","6"
"doro-watcha","Ditto","95"
"Texera","texera","2240"
"kubeflow","pipelines","12"
"sdonataccio-handy","spark-fork","28487"
"eric-erki","Antox","3410"
"shinh","ags","1"
"GuzAza","Warkoz","2"
"sigopt","sigopt-examples","7"
"rohankumardubey","scalac-scoverage-plugin","1445"
"AntonEstrela","Examen_pes","93"
"embeddedkafka","embedded-kafka-schema-registry","253"
"open-rpc","spec","88"
"nv-vn","youreasquidnow","6"
"vikashjha26","projects-example","2"
"jasync-sql","jasync-sql","3283"
"mrsimple1982","codegenerator","44"
"cttestid41","Apache_Spark","27543"
"attorneycoverage","ac_client_codegen","2630"
"unixdotfiles","misc-scripts","3"
"plumsEniy","spark","28385"
"tersesystems","echopraxia","149"
"trifonnt","generator-jhipster-x2","44"
"http4s","http4s-io.g8","111"
"amit-devops","gradle","441"
"apache","tinkerpop","27"
"autozimu","LanguageClient-neovim","2"
"mozilla","gcp-ingestion","15"
"kcrypt","scala-biginteger","243"
"actor-framework","actor-framework","65"
"wavesplatform","Waves","47158"
"kucherenko","jscpd","10"
"MBMariana","face","26"
"scalableminds","webknossos","16312"
"shuvo1533","tempCamel","1216"
"Johnlon","openapi-generator","390"
"kornypoet","dotfiles","140"
"santhosh15lm","Hacktoberfest","3"
"chandrakalakuppam","scala-maven","1360"
"asakusafw","asakusafw","115"
"dmbuildpipeline","timeseries","795"
"kevoliva","GildedRose-Refactoring","6"
"autonomatix","apache-spark","30295"
"linkerd","linkerd","2309"
"typelevel","typelevel.github.com","22"
"Holarse-Linuxgaming","website","4"
"metawidget","metawidget","47"
"tripledio","trivia-refactor-kata","6"
"MAIF","izanami","2534"
"ankarp","fp-course","133"
"mbustosorg","who-won","180"
"Javran","Thinking-dumps","44"
"Divyasahu15","hello-world","12"
"prateek-s","dspark","28542"
"VladimirNik","mars-gsoc-2014","49114"
"codeBabyLin","DynamicGraph","162"
"lensesio","stream-reactor","10152"
"hilton","hilton.github.com","13"
"HannesBenson","fp-course","133"
"jointcloud-buaa","G-Spark","26301"
"wwwtop","skywalking","35"
"wakatime","wakatime-cli","2"
"xerial","sqlite-jdbc","2"
"hmrc","plastic-packaging-tax-registration-frontend","4450"
"awsdevops009","jfrog-artifact","2"
"awaitility","awaitility","29"
"scalacenter","scaladex","5678"
"SayWhat04","Gilded-Rose-Kata-Solution","10"
"vadopolski","JavaToScala","90"
"jmblog","dotfiles","2"
"xuanyuanking","spark-adaptive","28140"
"autarchprinceps","Reactive-Load-Generator","113"
"programmerkgit","ace-typescript","4"
"apache","openwhisk-runtime-nodejs","919"
"EventStore","EventStore","2"
"mikekaminsky","dotfiles","24"
"GregTechCEu","GregTech","4"
"oap-project","arrow-data-source","4733"
"SwissBorg","akka-persistence-postgres","2347"
"xuwei-k","shapeless-java-records","28"
"yaroot","dotfiles","2"
"SuperCielo","sceu","27897"
"mcao","hacktoberfest-2019","3"
"ryujaehun","one-shot-tuner","308"
"pratikregal1a","docker","6"
"shrikant-rajappan","pinot","54"
"ngpgopi","parquet-mr","1"
"lunes-platform","lunes-node","19392"
"scalatra","scalatra-website","12"
"d2a4u","meteor","306"
"typelevel","spire","6819"
"Visistema","Spark","30258"
"Legal-Dan","gilded_rose_ruby","10"
"lightbend","config","457"
"jiegec","fpu-wrappers","389"
"tofu-tf","tofu","3784"
"scanamo","scanamo","2511"
"CDevOp","HelloWorld","3"
"querydsl","querydsl","846"
"scala","make-release-notes","65"
"nikosnikolaidis","incubator-pinot","39"
"kaitai-io","kaitai_struct_compiler","3193"
"snowflakedb","spark-snowflake","2063"
"gszhuang","hbase_study","125"
"cloudstateio","kotlin-support","4"
"microsoft","recommenders","61"
"vegansk","sculptor","1005"
"NetLogo","NetLogo","12210"
"typelevel","jawn","722"
"viering","spark_cm_use_case","30524"
"returntocorp","ocaml-tree-sitter-semgrep","8"
"charpty","redis-source-reading","44"
"ukwa","webarchive-discovery","20"
"typelevel","mouse","438"
"streamline-eu","unified-dataflow","4182"
"scala","nanotest-strawman","855"
"wsjz","selectdb","35"
"ldct","cp","1"
"multivacplatform","multivac-ml","165"
"Ahmed00006","SparkCode","893"
"DloveKk","geo","36"
"jakbtg","tdd-part4","10"
"sdoxsee","poc-WebClientHttpInvokerRequestExecutor","90"
"chaitanyamg","web_hook","12"
"big-unibo","project-template","15"
"Saumyashu","hello_world_testing","12"
"jiajunhua","opencv-opencv","26"
"wartremover","wartremover-contrib","266"
"virtualeconomy","v-systems","18758"
"11JJChina","spark","30338"
"readmeio","markdown-magic","1"
"booksbyus","zguide","2"
"fire","FrameworkBenchmarks","605"
"iheartradio","ficus","490"
"zotijs","dockerized_fp_course","133"
"garden","plugs","6"
"fsanaulla","chronicler","6617"
"harkauh","helloW","12"
"scalaz","scalaz","15384"
"scala-exercises","exercises-circe","140"
"Guimoye","opencv-master","26"
"iPieter","kiwi","41"
"bazelbuild","rules_jvm_external","6"
"sirthias","parboiled2","1433"
"omishyn","generator-jhipster","44"
"cosmicexplorer","learning-progress-bar","6"
"bergren2","konigsberg-ruby","6"
"apache","incubator-kyuubi","2557"
"corda","djvm","3"
"ekino","ekino-tools-version","306"
"lefou","mill-integrationtest","68"
"irrer","aqa","5163"
"jainaman224","Algo_Ds_Notes","1"
"Jazmann","OpenCV-2017-Sliced","26"
"simplexspatial","simplexspatial","273"
"ghostFaceKillah","ghostFaceKillah.github.io","3"
"dchmin","camel","1216"
"jupyter-attic","declarativewidgets","40"
"yxhuangCH","RxJava2Record","937"
"com-lihaoyi","scalatags","1467"
"outsideris",".vim","8"
"lballabio","QuantLib-SWIG","26"
"multivacplatform","multivac-wikipedia","68"
"XuDaojie","Java","7"
"nyyppa","bizfitFileServer","3"
"victorfernandesraton","grammer-4","13"
"manisit09","Manish-Test-1","20"
"WellFactored","property-info","9"
"dbpedia","extraction-framework","11572"
"DnotCf","geoserver","36"
"ciren","cilib","971"
"seglo","kafka-lag-exporter","624"
"ya0guang","tvm-wasm","308"
"fakeNetflix","twitter-repo-twitter-text","3"
"nishantverma160380","aws-tutorials","31"
"skambha","spark-ri","29705"
"robdmc","dot_files","12"
"sauravmondallive","OpenCV-Master","24"
"AchimKO","ACETest","4"
"guardian","prout","358"
"benthecarman","OP-RETURN-Bot","191"
"csordelet","BokehApp","67"
"broadinstitute","workbench-libs","2487"
"qaseleniumtesting01","GithubScalaSbt","245"
"BigWii","https-git-wip-us.apache.org-repos-asf-hbase","297"
"ritorujon","GildedRose-Refactoring-Kata","6"
"typelevel","feral","304"
"mcoblenz","Obsidian","1062"
"SummerSec","logging-log4j2","156"
"wellcomecollection","catalogue-pipeline","21387"
"PlummersSoftwareLLC","Primes","9"
"mcsherrylabs","sbt-native-packager","983"
"nabihaziz","testing","13"
"tejeswar2020","Collab","1753"
"jonathanj","adventofcode","54"
"zio","zio-prelude","2264"
"chipsalliance","treadle","591"
"mahadevswamy","algorthms","1"
"G-Research","spark-dgraph-connector","935"
"rosshamish","dotfiles","8"
"woxelworks","metrkd","2"
"ewirkerman","Halite-III","177"
"Prudhvikartheek","spark","30291"
"srthiru","cs441-assn3-logsearch","69"
"xiaobing007","hbase","108"
"apache","phoenix","125"
"SpringMT","study","6"
"On-teste-les-organisations","gerrit","7"
"Emir999","-RBS--Red-Back-Spider","16968"
"ravich999","spark","26197"
"srthiru","cs441-assn2-logalyzer","44"
"big-data-europe","docker-spark","1"
"box0708","opencv_haar_files","26"
"algorithmiaio","dev-center","8"
"typelevel","sbt-typelevel","626"
"apache","incubator-pegasus","64"
"higumachan","incubator-mxnet","2324"
"oneapi-src","oneDAL","82"
"polaris707","mlflow","4"
"allenai","deep_qa","441"
"JasonGross","pygments-main","553"
"Abraham-LeeJay","spark","30418"
"deanwampler","spark-scala-tutorial","893"
"parsrijo","LeetCode","17"
"apache","openwhisk-runtime-python","907"
"ECE592-TeamA7","OpenCV","26"
"gradle","playframework","120"
"GoogleCloudPlatform","professional-services","387"
"longhai3395","spark-timeseries","795"
"ashocky","earthly","11"
"avysk","My-Vim-Config-8","6"
"sbt","sbt-jacoco","803"
"SENJATAISEKAI","jhipster","44"
"valeriypj","project-examples","2"
"guliashvili","Halite-III-Bot","194"
"LeeTibbert","scala-native-trials","8535"
"bitcoinprivacy","Bitcoin-Graph-Explorer","1086"
"shwetapawar5600","helloWorldTesting","12"
"photogamerun","spark","28666"
"itri-tvm","Relay2ONNX","308"
"sei40kr","doom-emacs-config","1"
"abhinav-jain09","CMAK-AJAIN","1251"
"mohiva","play-silhouette","2741"
"smook1980","sourcegraph","3"
"saurfang","spark-sas7bdat","130"
"sbt","zinc","5542"
"slick","slick","4746"
"RAHULSAI14231","jhipster","44"
"andrewmccall","scala-faker","92"
"DataBiosphere","leonardo","8317"
"gszhuang","spark_study","25411"
"rohankumardubey","Delta","972"
"wicketstuff","core","352"
"cchang83","PMD","34"
"TileDB-Inc","TileDB-Spark","9"
"captgao","tvm-de10pro","308"
"pranab","beymani","143"
"dunglas","mercure","10"
"traymondbiz","TriviaGameRefactoringExercise","8"
"delta-io","delta","1886"
"benthecarman","PSBT-Toolkit","320"
"wix","wix-http-testkit","627"
"BitMEX","api-connectors","1401"
"AbdeljalilNachi","myCollab","1753"
"lion92","marsRover","6"
"hbz","nwbib","8"
"codereport","LeetCode","16"
"tototoshi","slick-joda-mapper","135"
"shuhan2","gilded-rose","6"
"scalyvladimir","sb-spark","27"
"Liwukong","Julia","2"
"fulcrumgenomics","fgbio","1222"
"GiganticMinecraft","SeichiAssist","8097"
"eto-ai","rikai","347"
"mariusz89016","old-flink","5795"
"jSherz","lsd-members","1327"
"Bate90","GoogleCloudPlatform-Training-data-analyst","31"
"varshapalat","batch-data-pipeline","180"
"olenleo","tdd_legacy_code","10"
"vejandlakrishna","Camel","1066"
"google","CFU-Playground","2"
"CGnal","cgnal-data-ingestion","85"
"manboubird","dot-files","2"
"arifrabbanishaik","IBM-Zeppelin","14"
"karthikn343","hhh","2"
"hellozhxy","playframework","9787"
"aloneguid","parquet-dotnet","4"
"power-lin","test-cat","6"
"complate","complate-spring-mvc","7"
"saurfang","spark-knn","202"
"connollyst","little","4736"
"foundweekends","conscript","264"
"gchq","Gaffer","25"
"j5ik2o","docker-controller-scala","656"
"ICOS-Carbon-Portal","meta","4859"
"verifast","verifast","1"
"allegrofb","tvm_v0.8","308"
"mpollmeier","gremlin-scala","2449"
"SingleFuji","sarasvati","28"
"Blaisorblade","dot-iris","20"
"0rora","0rora","309"
"fluency03","kafka","8853"
"tesseract4java","tesseract4java","12"
"sureally","kafka-source-reading","10758"
"pnas","dockerized_fp_course","133"
"sixsigmapymes","jhipster","44"
"cloudstateio","springboot-support","7"
"spotify","dbeam","225"
"realguoshuai","hadoop_study","47"
"mahedi-kaysar","spark-test","25594"
"Zeeshan2901","apache-pinot","39"
"RahulKarun","Demotry","9"
"maroianenasrellah","opencv","26"
"typelevel","scalacheck","1968"
"nishantverma160380","Spring-Cloud-Tutorial","89"
"hroncok","shared-mime-info-3dprint","1"
"enso-org","enso-staging","7859"
"hnakamur","cargo-deb","5"
"dfdx","Spark.jl","96"
"broadinstitute","firecloud-ui","1321"
"caseycling","gildedrose-refactor","10"
"vngrp","dpg-gilded-rose","10"
"ryoshimizu","c9","3"
"lefou","mill-osgi","72"
"sandy2594","sample2","13"
"lprimeroo","DSA","2"
"circe","circe-generic-extras","343"
"ggzone","spark-commit","17526"
"johneleks","opencv","24"
"Jacek1993","tutorial","31"
"evolution-gaming","scache","322"
"databricks","databricks-cli","4"
"mksoni29","6sept","31"
"CrazyReason","opencv_yuanshi","26"
"kwanghoony","kwanghoony","61"
"CodeMettle","akka-solr","396"
"scalapb-json","scalapb-argonaut","283"
"mxm","flink-mesos","3971"
"Aksh5697","spark_apache","30423"
"GerritCodeReview","plugins_gc-conductor","11"
"spullara","mustache.java","49"
"shadowsocks","shadowsocks-android","2625"
"drivanov","upstream","2462"
"veltzer","demos","6"
"flowcommerce","dependency","1316"
"FrankSen","flink-flink","23209"
"datarobot","datarobot-user-models","20"
"mithril-security","crossbeam-sgx","4"
"crealytics","spark-excel","402"
"willislwang","delta_caching","558"
"balaknathan","sarasvati","28"
"GoogleChromeLabs","text-app","2"
"axsistecnologia","rabbitmq","28"
"mayank-gokarna","JaVARx","937"
"Ssk1234321","logginglog4j2","156"
"d40cht","StackFlyOver","224"
"zorro2017zdc","cp_opencv","26"
"chenpengchuan","jdbc-connector-for-apache-kafka","73"
"adatzer","snowplow-tmp-1","10407"
"pradsjfrog","gradle-example","2"
"algorithmiaio","langpacks","5"
"Infoblox-CTO","parquet-mr","1"
"ucb-bar","chiseltest","921"
"lightbend","mima","3181"
"emworks","react-backbone-todos","68"
"apache","openwhisk-runtime-php","880"
"rohankumardubey","pulsar","4"
"google","paco","2"
"Apekshamadavi0817","Day_1","12"
"yahoo","CMAK","1203"
"dedis","popstellar","2490"
"Apekshamadavi0817","H1","12"
"hseeberger","akka-http-json","557"
"geomesa","geomesa-tutorials","6"
"lidihao","sparkSrc","30335"
"playframework","play-samples","1258"
"open-telemetry","opentelemetry-java-instrumentation","371"
"cprieto","pygments","559"
"precog","platform","12609"
"erikerlandson","coulomb","836"
"guardian","giant","153"
"cemoulto","cetera","907"
"tinylog-org","tinylog","58"
"guardian","content-api-scala-client","1102"
"outbrain","ob1k","22"
"returntocorp","pfff","68"
"ReactivePlatform","Pragmatic-Scala","2213"
"geonetwork","core-geonetwork","2"
"zyongye","fass-base-container-flask","875"
"jmock-developers","jmock-library","1"
"paulbutcher","ScalaMock","1813"
"agourlay","cornichon","5499"
"FahimFBA","URI-Problem-Solve","1"
"varadhodiyil","kibana-auth","4"
"xcgoner","AISTATS2020-AdaAlter-MXNet","2477"
"Rajpal-Diwaker","ACM-ICPC-Algorithms","6"
"apache","atlas","715"
"dianping","cat","6"
"sagpant","PDAL","57"
"erdeszt","graphient","348"
"jesseweed","seti-ui","2"
"trussworks","react-uswds","10"
"xuwei-k","iarray","298"
"Grogs","dotfile","13"
"lukereno","tutorials","90"
"github","platform-samples","13"
"valiantljk","h5spark","64"
"almada94","almada","26"
"eric-erki","OpenAPI-Specification","88"
"pyjsdev","flask","67"
"Momo2beng","nuxeo","586"
"xeno-by","backupler-2013-07-25","47935"
"diggzhang","custom_deequ","501"
"emizhang","HostaLabs-Localization","26"
"gliderlabs","herokuish","2"
"tersesystems","blindsight","949"
"exo-lang","exo","6"
"rajarahul27","rahul-ctesting","26"
"tpolecat","natchez","338"
"sgrouples","paypal","528"
"tirupathiogirala","ServerLess","7"
"AbsaOSS","spline","4653"
"UKHomeOffice","drt-v2","19557"
"CryptoFarian","BitMex_trading","1267"
"gkossakowski","scalagwt-scala","39732"
"ApolloFoundation","Apollo","20"
"sandeepnair2812","MLflow-A-Machine-Learning-Lifecycle-Platform","17"
"joelittlejohn","jsonschema2pojo","93"
"twitter","scala_school","38"
"pprasad","OpenApis","88"
"bluenote10","NimData","4"
"antlr","grammars-v4","7"
"mostafij-rahman","pulsar3","4"
"humbhenri","Sudoku_Poliglota","3"
"Maluuba","bokeh","67"
"developerdong","powergraph","3"
"cliffano","swaggy-jenkins","5255"
"9rince","kfp","12"
"raghav-deepsource","gerrit","43"
"jacquesg","p5-MsgPack-Raw","23"
"hl475","svd","25906"
"zk25796","ace","4"
"pokokmenjoget","ppu7","23066"
"talhahasanzia","swagger-code-gen-clone","2633"
"nationalarchives","tdr-scripts","2"
"linkerd","linkerd-examples","4"
"pdbartlett","misc-stuff","223"
"danmastalerz","scalachess","3299"
"erikvanoosten","sentries","298"
"streamnative","pulsar-beat-output","8"
"AlphaWong","apache-kafka-on-k8s","9461"
"mjwall","dotfiles","2"
"wang-shishuang","Java-Tutorials","90"
"spinnaker","clouddriver","22"
"fdse3","ReactiveX_RxJava_0","937"
"facebook","fbthrift","2"
"estebanmate","books","6"
"apicollective","apibuilder-validation","523"
"mattmoore","scala-playground","207"
"fthomas","refined","2302"
"scalapb","zio-grpc","604"
"nvanhoeck","gilded-rose-kata","10"
"v-raya","Deploy-Maven-Builds-to-Artifactory","2"
"michael-galpin","scala","27774"
"GitHubRaju","https-github.com-eugenp-tutorials","30"
"shuangshuangwang","spark-adaptive","27742"
"ChTimTsubasa","MySpark","26445"
"yaommen","spark","30604"
"nikosnikolaidis","mahout","2486"
"DSC-SPIDAL","twister2applications","26"
"byshen","redis-study","44"
"iron2414","spark-efop-websocket","30379"
"nikosnikolaidis","incubator-hivemall","516"
"yunglechao","mxnet","2480"
"inkydragon","gc","6"
"FUHENG0571","S","29611"
"vakkov","opencv","26"
"zio","zio-sql","1459"
"SumoLogic","sumo-java-client","2"
"ruxiliang","TVMDynMem","308"
"oap-project","raydp","82"
"velo","flexmojos","3"
"sbt","sbt","18331"
"jayeetanaskar","spark","29673"
"apache","openwhisk-runtime-docker","875"
"anukritigupta24","openapi-spec","88"
"delcacho","DataSciencePlatform","1"
"spark-jobserver","spark-jobserver","1708"
"aniksarakash","awesomo","2"
"jmcph4","fp-course2020","133"
"technogav","grababite-1.1","2"
"metarank","metarank","1217"
"SMazu","Data-61-Haskell-Functional-Programming-Course","133"
"openzipkin","zipkin-finagle","20"
"blue-oil","blueoil","368"
"chipsalliance","rocket-chip","13019"
"JulioZS","GildedRoseRefactoring","6"
"OAI","OpenAPI-Specification","88"
"centercode","code-samples","2"
"sbt","sbt-unidoc","64"
"ailrk","trash","9"
"jgm","skylighting","1"
"asdf2014","algorithm","1"
"xuwei-k","sbt-proguard","86"
"fusesource","hawtjni","14"
"liftmodules","imaging","523"
"EpamLifeSciencesTeam","cmwl_pipeline","1097"
"ReactiveX","RxJava","937"
"zhkl0228","binary-refactory","2"
"Alignof","pygments-rs","50"
"shravan-padakanti","spark-source","28081"
"MAIF","otoroshi","10120"
"yougandarnaik","project-examples","2"
"amperie","user-models","13"
"MallikarjunMMN","Serverless","3"
"kubukoz","steve","188"
"lerencao","solutions_of_projecteuler","1"
"pedrovgs","Shot","425"
"wavesplatform","matcher","39526"
"DivyanshuSharma06","hello-world-in-every-language","3"
"dagster-io","dagster","32"
"81CuongVn","arrow","86"
"blackbird71SR","Hello-World","3"
"guardian","bonobo","1000"
"jswaff","chess4j","5"
"Jazmann","OpenCV-2017-Rebuild","26"
"rajrohith","apache-spark","25612"
"sig-alanyan","platform-samples-mirror","13"
"qinwang","spark1","29877"
"VideoAmp","flint","285"
"x3193","c9","3"
"satishbiradar99","buildstatus","2"
"znep","spandex","774"
"mathiasbynens","small","1"
"fiji","fiji","1"
"4paradigm","OpenMLDB","1749"
"RIKEN-RCCS","spark","21066"
"emartech","emarsys-client-scala-sdk","297"
"coursier","sbt-coursier","3449"
"SunicYosen","tvm-rram","131"
"adlnet","xAPIWrapper","4"
"apache","skywalking","35"
"sigoden","fp-course","133"
"abroskin","kafka-connect-jdbc","73"
"doesntreallymatter1","h","41"
"sbt","launcher","681"
"gprathore","Test","12558"
"smtcrms","buck","6"
"siderdax","prisma4rpi4","1921"
"mcb287","Halite2016","19"
"clab","dynet","15"
"Janhen","spark","30506"
"apache","tvm","308"
"zhaoxudongnew","zhaoxudongnew","24322"
"isabelle-prover","mirror-isabelle","15108"
"olyn-octo","kata-trivia","8"
"laifong","OpenCV","26"
"gertschouten","kafka-connect-jdbc-flatten","73"
"camptocamp","c2cgeoportal","12"
"jupyter-server","enterprise_gateway","7"
"fakeNetflix","twitter-repo-commons","12"
"someshnnm","aws","7"
"arnfred","Penrose","3"
"dispatch","reboot","580"
"alejogs4","ts-final-refactor","6"
"Lyken17","tvm-hack","308"
"assafsauer","Kafka-c1","73"
"http4s","http4s-crypto","202"
"earldouglas","sbt-frege","24"
"freechipsproject","www.chisel-lang.org","2"
"devth","devth.github.com","17"
"sbt","sbt-protobuf","85"
"xestradingcenterorg","redis-5.0-annotated","44"
"ssaavedra","spark-k8s","27795"
"ajavageek","gilded-rose-rust","6"
"Sunbird-inQuiry","data-pipeline","4156"
"TheCodeCache","spark-25517","30300"
"nangudeprashant","SpringMVC","16"
"junarwohn","tvm-0.7","308"
"ConsenSys","web3signer","7"
"ajaxorg","ace","4"
"c4dt","service-stainless","7"
"berensaat","C-","62"
"flowcommerce","lib-postgresql","214"
"Jin-H","spark-read","29237"
"mhaberler","pygments","595"
"hayescody27","assignment-2-gilded-rose","10"
"honeyroastedturkey","GildedRose-Refactoring-Kata","10"
"13099130927","leetcode","17"
"ethyca","fides","1135"
"outline-insurance","apex","1"
"luojiahuli","SparkGraphx","16702"
"apache","incubator-hivemall","516"
"tysonnorris","openwhisk-new-containerpool","1826"
"hmrc","tax-summaries","2020"
"system-f","fp-course","133"
"sbt","librarymanagement","2342"
"pygments","pygments","50"
"phanuwichX","Test2-Ass2","378"
"agarwalrounak","Hello-World","1"
"fmigneault","opencv","26"
"itchyny","fastinvsqrt","2"
"rohankumardubey","GitBucket","5927"
"ucb-bar","firrtl-uclid","1523"
"SonarSource","slang","106"
"rohankumardubey","spark-excel","402"
"ASWWU-Web","frontend","4"
"OctoConsulting","generator-fedhipster","44"
"backtrackshubham","sparkts-scala-2.12","795"
"IronCoreLabs","recrypt","134"
"ballista-compute","ballista","173"
"mr-beerkiss","samples","1"
"chuan9797","Backup","11"
"circe","circe-spray","12"
"mikedamay","v3-unforked","3"
"harishgoudb","Jfrog-cpoy","2"
"eamicheal","TVMCloned080222","308"
"PengJi","Redis","44"
"Xxiaobai1","mxnet_autoclip","2482"
"emartech","escher-akka-http","67"
"uuverifiers","parikh-theory","567"
"Tencent","BlazerML-tvm","308"
"evolution-gaming","scassandra","269"
"Alex-LiWenhao","openapi","3501"
"onestepbystep","spark_core","27897"
"asami","arcadia","469"
"enis","hbase","125"
"royburns","QUANTAXIS","8"
"wangcheng95","flink_source_study","23491"
"pocoproject","gradle-poco","443"
"indrasmartmob","microsoft_recommenders","60"
"SpooderManEXE","Hacktoberfest2020-Expert","3"
"reactive-streams","reactive-streams-jvm","32"
"bazelbuild","rules_scala","575"
"myeyesareblind","opencv-ml","17"
"zhaohc10","cmkafka","12156"
"nlkntsharma","mwatch","30418"
"christophyoon","android_opencv_study","26"
"twitter","finatra","2276"
"einverne","kafka","9785"
"icyphy","ptII","30"
"ChubaOraka","data-science-on-aws-workshop-2021-05-15","10778"
"softwaremill","tapir","14026"
"ucb-bar","chisel-repo-tools","1"
"reactivemanifesto","website-manifesto","138"
"tvraman","emacspeak","31"
"emartech","pure-scheduler","81"
"hortontp","RxJava","937"
"lballabio","quantlib-old","9"
"vicknesh22","gcloud-plugins","6"
"apache","plc4x","4"
"snowplow-referer-parser","referer-parser","139"
"scala-js","scala-js-dom","4380"
"utkarshd777","storeseghello","3"
"muellners","generators-finscale","44"
"QianChao91","spark","23587"
"pengxiaoyong","first","30"
"polynote","polynote","2042"
"psforever","PSF-LoginServer","8008"
"rajatguptakr2","ng-cordova-rajat","2"
"github","linguist","9"
"bollu","mlir-hoopl-rete","1"
"maomanqi","spark","26809"
"typelevel","case-insensitive","104"
"junhalba","incubator-mxnet-master","2479"
"lizhanyang505","spark-source","26996"
"gridgentoo","realtime-olap","16"
"eed3si9n","gigahorse","355"
"pravitha2586","project-example","2"
"Balaji-P","kafka","1168"
"cornerman","sloth","466"
"src-d","jgit-spark-connector","525"
"freedesktop","xdg-shared-mime-info","3"
"fishy","notifbot","87"
"Tekh-ops","Hello-World","13"
"Mermade","openapi-codegen","2"
"AndyYSWoo","spark-latest","25113"
"ruippeixotog","akka-testkit-specs2","87"
"IanDarwin","javasrc","6"
"wyze","atom-seti-icons","1"
"sbt","sbt-java-formatter","44"
"NullDev","Hacktoberfest-2020-FizzBuzz","3"
"krzychdre","kafka-connect-jdbc","73"
"Shreyasbaba","tutorials","90"
"adityadhakal","aditya_tvm","308"
"houssoli","project-examples-jfrog","2"
"aretit2533","logging-log4j2","156"
"uid","gitstream-exercises","5"
"schrepfler","uri4s","41"
"totalkyos","C9","3"
"vifon","emacs-config","5"
"ltonetwork","lto-public-chain","29782"
"foam-framework","foam2","2"
"TyGuS","suslik","3606"
"Vokkels","Drone_Automation-Border_Patrol","26"
"scylladb","scylla-code-samples","15"
"chipsalliance","firrtl","3476"
"whisklabs","docker-it-scala","642"
"jmsgrogan","PyChaste.web","19"
"fakeNetflix","facebook-repo-buck","6"
"spark-thriftserver","spark-thriftserver","30455"
"aisinnovation","ais","26"
"pmd","pmd","34"
"ceejay66","camel","1216"
"panjunbingtj","whale","3"
"apache","kylin","1279"
"caodi","julia","2"
"yuhaijun87","kafka","9174"
"AlbericMartel","trivia","6"
"Grogs","fulfilmed","1480"
"andyglow","websocket-scala-client","100"
"unfiltered","unfiltered","3724"
"scala-exercises","exercises-stdlib","884"
"MathHubInfo","ISFA","125"
"IMCG","Flink","3506"
"84KaliPleXon3","hacker-scripts","2"
"arnfred","ifany-scala","299"
"scodec","scodec","2754"
"tobegit3hub","tensorflow_template_application","9"
"readmeio","markdown","2"
"shash431","tutorials-reference","90"
"albuch","sbt-dependency-check","167"
"raosudha89","vowpal_wabbit","3"
"cornerman","colibri","396"
"scoverage","gradle-scoverage","131"
"eed3si9n","scalaxb","2289"
"6high","spark-2.x-source-read","28529"
"delta-io","connectors","621"
"DarkHighness","fp-course","133"
"haltona","FlinkTrainingAttemp2","23645"
"unarto","shadowsocks-android","2625"
"playframework","play-json","1282"
"scalacenter","scastie","4545"
"argonaut-io","argonaut","2207"
"apache","ambari","239"
"rajrohith","lambda-arch","25635"
"gchudnov","swearwolf","2377"
"Vattikondadheeraj","testing","1"
"dmlc","treelite","14"
"prisma","prisma1","18545"
"zhanghk2001","LeetCode","17"
"fossabot","Autofactory","9"
"mek-omkar","opsrampkbncust","4"
"akka","akka-http-quickstart-scala.g8","62"
"apache","incubator-heron","201"
