	label	cluster	numCommits	binFiles	imgFilePct	textFiles	textLines	cLinePct	c-plus-plusLinePct	dataLinePct	goLinePct	interfaceLinePct	javascriptLinePct	jsonLinePct	latexLinePct	lockLinePct	localizationLinePct	markdownLinePct	pydataLinePct	pythonLinePct	rpm-packageLinePct	rustLinePct	shellLinePct	solidityLinePct	swiftLinePct	txtLinePct	yarnLinePct
ba4016014cb4fb4927e36ce8ea429fed47dcb787	C++	12	1545	2	1.61	60	9877	39.98	59.02	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0
949b00ed591303c531ed8fa73087b710b7a554de	C++	10	4092	0	0	19	630	28.09	71.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0
6608c369b1a6cfc1d5b4a7905c193baa999ba84c	C++	10	4092	0	0	3	68	4.41	95.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230f51efb7da7cc4f8e03027b958aee8f3346914	C++	17	9586	0	0	3	17	5.88	94.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e0873dafc57980caffd1cdff597b4317d9cdcea6	C++	10	4092	0	0	6	45	6.66	93.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dea7b864e6bbd80b913abf44dc4748868c5d6975	C++	10	4092	0	0	9	494	7.89	92.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1006f0707e34f8903f247195dabd86243ae61f05	C++	10	4092	0	0	4	84	22.61	77.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f6ed29b88b0a721984173df04f04ad4c48d8711d	C++	10	4092	0	0	5	77	25.97	74.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11bdf358df078d9fb69136b79a788164f4636b22	C++	10	4092	0	0	5	198	33.33	64.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02	0
b5795a788639305bab86a8b3f6b75d6ce81be083	C++	17	9586	0	0	2	9	44.44	55.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67d4cbab461260cd51386a16a1a34bb9161e73a8	C++	10	4092	0	0	7	155	1.93	98.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9b0369c773c1d350a05435d8d3ec4e954828fb82	C++	10	4092	0	0	3	343	9.32	90.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400d68b81d97db506550dcd93e50dcd0aa1c37ac	C++	10	4092	0	0	6	233	16.73	83.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4f5ad43b1e05cd7b403f87aae4c4d42e5aea810b	C++	10	4092	0	0	2	42	35.71	64.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
802d52f6a2ee64a32dd65a9ad76bdde507ef9127	C++	10	4092	0	0	4	47	36.17	63.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c3d3ae80fa59df3a134141ed75f4d195984960fd	C++	10	4092	0	0	1	203	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0debab3a26249f73058a50f35df23bc7be802da5	C++	10	4092	0	0	3	597	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8885d15a0989003cbdd24ca4658087d8ec0279b5	C++	10	4092	0	0	6	384	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6474ab7879a6d82a2d27f5cb34fc37d850d8c6c5	C++	10	4092	0	0	10	2289	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3f7ada1689d1027eb1208c7647a309551e1aac20	C++	17	9586	0	0	1	7	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2b3b00776ed07fda9db9d389f616a2ec00f5aabe	C++	17	9586	0	0	1	8	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a9f4d1401059146a70ab04f087c2f3b5aa84e228	C++	17	9586	0	0	2	59	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cbd4465a7f0337450316bd38fb8613542fc134b9	C++	17	9586	0	0	1	17	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0a17495cf94016318ee76f299419595d6bfdd718	C++	17	9586	0	0	2	26	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
db132e7693ff66a758a6d5e0d40beaa0daf2fc4e	C++	17	9586	0	0	3	13	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a97aeb0e6ee946ebf864534a29205bfd7fed15e2	C++	17	9586	0	0	1	37	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
666696b673c5d3b7ab467a890cafd13ac19be503	C++	17	9586	0	0	1	5	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5f850b0311a9adca506f6a7e7c10e3d996f493af	C++	17	9586	0	0	1	14	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2c3eade704f63b360926de9e975ce80143781679	C++	17	9586	0	0	4	6	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ecd094e2b1e1eb7dba24dafef3640a9b6cc55f82	C++	17	9586	0	0	3	6	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104b3a5069c937383e6f88f2f3fb804ef61b208f	C++	17	9586	0	0	1	17	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f5927f5b32c9e28033fb7a00dd43f3162781c1d0	C++	17	9586	0	0	1	33	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4162c3d7afc9ed6a01345dab94e4f392391b321a	C++	17	9586	0	0	2	22	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f0bf33da8357bd6aff100bbe5b84a7f01937e379	C++	17	9586	0	0	5	10	10	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d4746d56c0c45b8721da36bc19b2bdaba5d7d094	C++	17	9586	0	0	4	12	25	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5aee8f975dbaf0e0528e71b468c7536f3ac655d7	Data	31	537	0	0	2	1534	0	0	99.67	0	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0
3c813c613f7b361e79849295ff19c17502204317	Data	31	537	0	0	2	1517	0	0	99.67	0	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0
3ea2614671518c0a23f8fe59ed6edb63c1a7c7cf	Data	31	537	0	0	2	1543	0	0	99.74	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
e2982e7b3236c0a47fff3cd40bb3891793b1d14d	Data	31	537	0	0	2	1326	0	0	99.92	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0
318621cad24d5258dd6809aeda2b59c180f6d269	Data	31	537	1	33.33	2	244	0	0	98.36	0	0	1.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d32b9134fd6201e3baaa2d4dbc34c279a0e7e645	Data	31	537	0	0	2	968	0	0	99.79	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
